Sectioning,NGS,UNGS,NV,Sectioning.1,NGS.1,UNGS.1,NV.1,Sectioning.1.1,NGS.1.1,UNGS.1.1,NV.1.1,Sectioning.1.1.1,NGS.1.1.1,UNGS.1.1.1,NV.1.1.1,Sectioning.1.1.1.1,NGS.1.1.1.1,UNGS.1.1.1.1,NV.1.1.1.1,Sectioning.1.1.1.1.1,NGS.1.1.1.1.1,UNGS.1.1.1.1.1,NV.1.1.1.1.1,Sectioning.1.1.1.1.1.1,NGS.1.1.1.1.1.1,UNGS.1.1.1.1.1.1,NV.1.1.1.1.1.1,Sectioning.1.1.1.1.1.1.1,NGS.1.1.1.1.1.1.1,UNGS.1.1.1.1.1.1.1,NV.1.1.1.1.1.1.1,Sectioning,NGS,UNGS,NV
-7.44064622693607,-7.626261519108212,-7.626261519108212,-7.626261519108212,-7.644534742987705,-7.844213189189382,-7.844213189189382,-7.844213189189382,-7.135502221810527,-6.961941813848574,-6.961941813848574,-6.961941813848574,-6.965501604528367,-7.036411277659706,-7.036411277659706,-7.036411277659706,-6.787217058260157,-6.802081445718073,-6.802081445718073,-6.802081445718073,-6.776836738612388,-6.806818355794983,-6.806818355794983,-6.806818355794983,-6.7802718330070135,-6.648026228833064,-6.648026228833064,-6.648026228833064,-6.942351957068886,-7.064219511841799,-7.064219511841799,-7.064219511841799,-6.7342453899391135,-6.578040959319376,-6.578040959319376,-6.578040959319376
-7.403448086180661,-8.766473103741339,-8.766473103741339,-8.766473103741339,-7.511923389499205,-7.168152534444087,-7.168152534444087,-7.416499819779557,-7.348666242702088,-7.437844758600297,-7.437844758600297,-7.437844758600297,-7.384641036322185,-7.384560930283579,-7.384560930283579,-7.384560930283579,-6.507314867376811,-6.439419408172579,-6.439419408172579,-6.439419408172579,-6.8436909213367,-6.667677774751067,-6.667677774751067,-7.501324909074859,-6.75640072132861,-6.667385556271749,-6.667385556271749,-7.507668290449208,-6.494669478465324,-6.496587212043028,-6.496587212043028,-6.496587212043028,-6.839899212270573,-6.694931599751859,-6.694931599751859,-6.694931599751859
-7.336297113984706,-7.324407287378078,-7.324407287378078,-7.324407287378078,-7.1838925285841295,-7.002672808481234,-7.002672808481234,-7.260273573693288,-7.94879016776836,-8.015010711138885,-8.015010711138885,-8.015010711138885,-7.263933328629988,-6.736114852289277,-6.736114852289277,-7.133169930692843,-7.204697797753726,-6.889954207956563,-6.889954207956563,-6.889954207956563,-7.0200710259704735,-7.050742213615072,-7.050742213615072,-7.050742213615072,-6.76049563803077,-6.42838528574398,-6.42838528574398,-7.4512603757502625,-6.880342269160525,-6.699228254960816,-6.699228254960816,-6.699228254960816,-7.761851753450273,-6.889114552707002,-6.889114552707002,-6.889114552707002
-7.398519093165858,-7.917542304963968,-7.917542304963968,-7.917542304963968,-7.805035494950165,-7.182588850843994,-7.182588850843994,-7.182588850843994,-7.156418233684213,-6.631894199511585,-6.631894199511585,-6.631894199511585,-7.2086395763017475,-7.606945088112243,-7.606945088112243,-7.606945088112243,-7.217915314802421,-6.618980008854008,-6.618980008854008,-7.905885196676809,-7.585327901495198,-6.550986135524851,-6.550986135524851,-7.444201163360735,-6.324603363304894,-6.273161867035929,-6.273161867035929,-6.273161867035929,-6.225344243073583,-6.099004457341572,-6.099004457341572,-6.099004457341572,-6.919929583533064,-6.9221958428478185,-6.9221958428478185,-7.474888213346217
-7.278946077042756,-7.594561354250016,-7.594561354250016,-7.594561354250016,-7.568824317757554,-7.484289458099603,-7.484289458099603,-7.484289458099603,-7.409130563965574,-7.77775444332675,-7.77775444332675,-7.77775444332675,-7.891023066659585,-7.279640917356314,-7.279640917356314,-7.279640917356314,-6.498373608399244,-6.911161454280371,-6.911161454280371,-6.911161454280371,-7.051082524685591,-6.202897510082713,-6.202897510082713,-6.202897510082713,-7.043677017381111,-7.330162524480463,-7.330162524480463,-7.330162524480463,-7.628383581490004,-6.653053536569452,-6.653053536569452,-7.597672707108365,-7.615356222142023,-6.538629809418997,-6.538629809418997,-6.538629809418997
-7.729858174268013,-7.962494948911033,-7.962494948911033,-7.962494948911033,-7.450557443282715,-7.282829430945894,-7.282829430945894,-7.282829430945894,-7.362875954225818,-7.622183875801925,-7.622183875801925,-7.622183875801925,-7.4631464406167805,-7.193157144169039,-7.193157144169039,-7.193157144169039,-7.221049247406345,-7.35487012582558,-7.35487012582558,-7.35487012582558,-6.676430850744437,-7.134843532527304,-7.134843532527304,-7.936503303512774,-6.700418697932745,-7.024069097291815,-7.024069097291815,-7.024069097291815,-6.676457927165869,-6.7022319633836105,-6.7022319633836105,-6.7022319633836105,-7.780298527004768,-6.903211682510738,-6.903211682510738,-6.903211682510738
-8.002015317323098,-8.022808784911643,-8.022808784911643,-8.022808784911643,-7.567547444414877,-7.1203818325777055,-7.1203818325777055,-7.1203818325777055,-7.048944919281077,-7.550460781657473,-7.550460781657473,-7.550460781657473,-7.370490548758613,-7.077771551831695,-7.077771551831695,-7.077771551831695,-7.056965568118391,-6.970305834073942,-6.970305834073942,-6.970305834073942,-6.9280666866407685,-6.801233998340217,-6.801233998340217,-7.8757258743654655,-6.838705112165568,-7.014200996010373,-7.014200996010373,-7.014200996010373,-7.634075822035316,-7.650766163702295,-6.956371485618142,-7.947151074372519,-6.428303471640535,-6.3749826177898985,-6.3749826177898985,-6.3749826177898985
-7.198071933924906,-8.081261491250263,-8.081261491250263,-8.081261491250263,-7.461101394761744,-7.893537910198837,-7.893537910198837,-7.893537910198837,-7.528939616088611,-7.193043967725442,-7.193043967725442,-7.193043967725442,-7.03522215597612,-7.055890703842707,-7.055890703842707,-7.055890703842707,-6.509895462339653,-6.690337473739692,-6.690337473739692,-6.690337473739692,-7.07440571923836,-6.956707448663863,-6.956707448663863,-7.369095727161173,-7.199356833872397,-7.0992476921337655,-7.0992476921337655,-7.0992476921337655,-6.8740873221861,-6.736755112125877,-6.736755112125877,-6.736755112125877,-7.45030846328673,-6.4251497741221435,-6.4251497741221435,-6.4251497741221435
-8.198657430623943,-8.236843683585356,-8.236843683585356,-8.236843683585356,-6.938430500528157,-7.671533268328569,-7.671533268328569,-7.671533268328569,-7.27452674717834,-7.084269015936872,-7.084269015936872,-7.084269015936872,-7.263057427900585,-6.9790684983412286,-6.9790684983412286,-6.9790684983412286,-7.516889364742735,-6.9830332991577375,-6.9830332991577375,-6.9830332991577375,-6.828694632116813,-6.918137578532075,-6.918137578532075,-7.705094531276746,-6.670322940686939,-6.704476890019235,-6.704476890019235,-6.704476890019235,-6.848084101392398,-6.806820721845806,-6.806820721845806,-6.806820721845806,-7.618113870173461,-7.471445594688072,-6.54940614576471,-7.554327887590613
-7.462382165247649,-8.196831504493858,-8.196831504493858,-8.196831504493858,-6.905937302380166,-7.061720352062755,-7.061720352062755,-7.061720352062755,-7.221943544732388,-7.357431450552532,-7.357431450552532,-7.357431450552532,-7.019182168580787,-6.650504212997319,-6.650504212997319,-7.392195321286778,-7.473609574341902,-7.231678185502867,-7.231678185502867,-7.231678185502867,-6.729068800636813,-6.822865063498017,-6.822865063498017,-6.822865063498017,-6.483373894288847,-6.549483193897998,-6.549483193897998,-6.549483193897998,-7.063556123656254,-6.981592697577684,-6.981592697577684,-6.981592697577684,-6.5630124622911925,-6.5476179988722585,-6.5476179988722585,-6.5476179988722585
