Cross Validation,Bootstrapping,Cross Validation.1,Bootstrapping.1,Cross Validation,Bootstrapping
-6.678263128031476,-6.678263128031476,-6.64331149195268,-6.64331149195268,-6.653537414185381,-6.653537414185381
-6.844063074376126,-6.844063074376126,-6.565734229836215,-6.565734229836215,-6.679417415567208,-6.679417415567208
-6.969971321202911,-6.969971321202911,-6.766196393098586,-6.766196393098586,-6.786748415290639,-6.786748415290639
-6.234674236006101,-6.234674236006101,-6.705358844800031,-6.705358844800031,-6.72153623073797,-6.72153623073797
-6.929790767476717,-6.929790767476717,-6.625792332793453,-6.625792332793453,-6.864984249726355,-6.864984249726355
-6.583959058806762,-6.583959058806762,-6.83726759141735,-6.83726759141735,-6.824935451679112,-6.824935451679112
-6.645728769355952,-6.645728769355952,-6.469610456832665,-6.469610456832665,-6.531098221194113,-6.531098221194113
-6.518075260741317,-6.518075260741317,-6.736170498400595,-6.736170498400595,-6.8338270625433015,-6.8338270625433015
-6.441279941178556,-6.441279941178556,-6.2805047667388445,-6.2805047667388445,-6.70003309086732,-6.70003309086732
-6.418538975288082,-6.418538975288082,-6.6288649054643765,-6.6288649054643765,-6.7026235858925,-6.7026235858925
-6.622819301440651,-6.622819301440651,-6.666998279106549,-6.666998279106549,-6.823765065942457,-6.823765065942457
-6.396228570924706,-6.396228570924706,-6.68731876625853,-6.68731876625853,-6.756371907564595,-6.756371907564595
-6.75064062683897,-6.75064062683897,-6.344481290918355,-6.344481290918355,-6.664116486880737,-6.664116486880737
-6.917767362982559,-6.917767362982559,-6.832770253661815,-6.832770253661815,-6.684195073866302,-6.684195073866302
-6.4511887700197335,-6.4511887700197335,-6.71365473751856,-6.71365473751856,-6.628651667205609,-6.628651667205609
-6.399798026164869,-6.399798026164869,-6.706363403384882,-6.706363403384882,-6.654948153438297,-6.654948153438297
-6.37322871442085,-6.37322871442085,-6.536297107289887,-6.536297107289887,-6.585891837470641,-6.585891837470641
-6.626729758922981,-6.626729758922981,-6.513144110406902,-6.513144110406902,-6.6819649319949885,-6.6819649319949885
-6.3022255538383245,-6.3022255538383245,-6.341766729817239,-6.341766729817239,-6.353915266643293,-6.353915266643293
-6.425792438892428,-6.425792438892428,-6.71781089401294,-6.71781089401294,-6.867238283727751,-6.867238283727751
