Sectioning,NGS,UNGS,NV,Sectioning,NGS,UNGS,NV,Sectioning,NGS,UNGS,NV,Sectioning,NGS,UNGS,NV,Sectioning,NGS,UNGS,NV,Sectioning.1,NGS.1,UNGS.1,NV.1,Sectioning.2,NGS.2,UNGS.2,NV.2,Sectioning.3,NGS.3,UNGS.3,NV.3,Sectioning,NGS,UNGS,NV
-5.79884465,-5.494597599,-7.297626023,-7.811487986,-4.901099373,-6.306991583,-6.932319418,-7.51549504,-7.589128324,-7.000853078,-7.000853078,-7.000853078,-6.084836665,-5.393761398,-7.570828319,-7.570828319,-7.579380404,-5.703246266,-5.703246266,-6.851787848,-7.87201428,-6.798399103,-6.798399103,-6.798399103,-7.575099303,-6.562066408,-6.562066408,-6.562066408,-6.737264332,-6.979131274,-6.979131274,-6.979131274,0,-7.879371856,-7.879371856,-7.879371856
-6.249789695,-6.614590533,-6.614590533,-6.614590533,-6.106350237,-5.961865735,-5.961865735,-7.000872336,-6.550152713,-5.066119789,-6.722655068,-6.722655068,-6.839844789,-4.939609893,-4.939609893,-6.46954316,-7.238677376,-6.082872798,-6.082872798,-7.26647058,-7.996691869,-6.685028253,-6.685028253,-7.798757797,-8.050869832,-6.442102669,-6.442102669,-6.442102669,-8.420079001,-6.574233915,-6.574233915,-6.574233915,0,-8.374474059,-8.374474059,-8.374474059
-6.26376962,-4.548495073,-6.25001181,-6.25001181,-6.26499182,-6.962466127,-7.727233456,-7.727233456,-7.287976776,-6.615047804,-8.046139644,-8.046139644,-8.218930739,-7.608136659,-8.240862215,-8.240862215,-8.261414596,-6.62101732,-6.62101732,-7.357141936,-7.831254037,-5.412897138,-5.412897138,-7.696942838,-7.761082815,-6.150652495,-6.150652495,-6.150652495,-7.381013512,-7.135364861,-7.135364861,-7.135364861,0,-8.213626336,-8.213626336,-8.213626336
-7.299659276,-7.172740912,-7.172740912,-7.720967552,-4.782852006,-6.671894827,-6.671894827,-7.402012829,-5.990362262,-5.689924892,-6.962342825,-6.962342825,-5.496735022,-5.554362887,-5.554362887,-5.554362887,-7.713537119,-4.416149059,-4.416149059,-6.358046251,-6.745706721,-5.716190764,-5.716190764,-6.805931016,-8.159178353,-8.105249917,-8.105249917,-8.105249917,-8.200681679,-7.286121108,-7.286121108,-7.286121108,0,-7.966351267,-7.966351267,-7.966351267
-7.036597989,-6.842075579,-6.842075579,-6.842075579,-6.108685681,-6.501928769,-6.501928769,-7.962910209,-7.39680778,-5.824466587,-5.824466587,-5.824466587,-7.557456339,-5.920294787,-5.920294787,-7.143116517,-5.783147436,-6.00501309,-6.00501309,-6.00501309,-7.902392292,-6.328014306,-6.328014306,-7.389592382,-8.328471043,-6.653546636,-6.653546636,-6.653546636,-8.320654815,-7.990677241,-7.990677241,-7.990677241,0,-6.693009609,-6.693009609,-6.693009609
-6.649637025,-4.833841247,-6.404346918,-6.404346918,-7.707613444,-5.802763396,-5.802763396,-5.802763396,-7.113722902,-6.524407662,-6.524407662,-6.524407662,-6.863473734,-5.683083215,-5.683083215,-6.949190689,-8.267976644,-8.129482511,-8.129482511,-8.327397463,-7.19472433,-5.928617446,-5.928617446,-5.928617446,-7.929407215,-6.449685607,-6.449685607,-6.449685607,-7.576433184,-6.515500194,-6.515500194,-6.515500194,0,-8.362010133,-8.362010133,-8.362010133
-8.054429775,-7.91985193,-7.91985193,-7.91985193,-4.978762978,-5.631445062,-7.825799723,-8.072513731,-6.153285743,-4.423812852,-5.673021482,-5.673021482,-5.811169715,-5.412593126,-5.412593126,-6.354694895,-7.862779102,-7.13213046,-7.13213046,-7.725497611,-6.737811586,-7.300022294,-7.300022294,-8.30863005,-8.062271716,-7.420770208,-7.420770208,-7.420770208,-7.846472681,-5.650238329,-5.650238329,-5.650238329,0,-4.346582627,-4.346582627,-4.346582627
-6.612329008,-5.679963581,-5.679963581,-6.948142426,-7.169534322,-6.167861671,-6.167861671,-8.113413905,-8.213872609,-8.213872609,-8.213872609,-8.213872609,-7.79220955,-7.544599239,-7.954454959,-7.954454959,-8.489563499,-7.340122418,-7.340122418,-8.027941803,-8.136519304,-7.635990969,-7.635990969,-8.108390566,-7.819912427,-7.055936143,-7.055936143,-7.055936143,-7.904808889,-6.48029134,-6.48029134,-6.48029134,0,-7.297370933,-7.297370933,-7.297370933
-6.549505389,-4.527869036,-5.977226109,-7.321501326,-6.151542666,-5.343284478,-5.343284478,-7.439024328,-7.8397011,-7.150510307,-7.150510307,-7.150510307,-5.8712307,-6.177785641,-6.177785641,-6.863244348,-5.16567086,-5.149943678,-5.149943678,-5.983991811,-8.006063056,-6.180751371,-6.180751371,-7.854620958,-8.225371754,-5.629830935,-5.629830935,-5.629830935,-6.949035815,-4.522412323,-4.522412323,-4.522412323,0,-7.963368169,-7.963368169,-7.963368169
-5.780059173,-5.007245165,-5.007245165,-5.007245165,-6.270067109,-6.2857588,-6.2857588,-7.58637916,-7.090236215,-6.326291466,-7.036975137,-7.036975137,-7.841082485,-7.269118241,-7.269118241,-7.269118241,-5.866700707,-6.829375491,-6.829375491,-7.527948166,-7.814767326,-6.68175787,-6.68175787,-6.68175787,-8.39988476,-4.495817052,-4.495817052,-4.495817052,-8.269361793,-8.269361793,-8.269361793,-8.269361793,0,-8.373459809,-8.373459809,-8.373459809
