Sectioning,NGS,UNGS,NV,Sectioning.1,NGS.1,UNGS.1,NV.1,Sectioning.2,NGS.2,UNGS.2,NV.2,Sectioning.3,NGS.3,UNGS.3,NV.3,Sectioning.4,NGS.4,UNGS.4,NV.4,Sectioning.5,NGS.5,UNGS.5,NV.5,Sectioning.6,NGS.6,UNGS.6,NV.6,Sectioning.7,NGS.7,UNGS.7,NV.7,Sectioning.8,NGS.8,UNGS.8,NV.8,Sectioning,NGS,UNGS,NV
-9.422348139567138,-8.431657665981183,-8.431657665981183,-8.431657665981183,-9.422348139567138,-8.431657665981183,-8.431657665981183,-8.431657665981183,-8.92142797390062,-7.223281180081007,-7.223281180081007,-7.897208179901346,-7.995074929809471,-8.25028531058187,-8.25028531058187,-8.25028531058187,-8.006904770188733,-7.951120107220706,-7.951120107220706,-7.951120107220706,-7.273007447479788,-7.257482341170535,-7.257482341170535,-7.257482341170535,-8.278057619659199,-7.639327048552099,-7.639327048552099,-7.639327048552099,-8.09200875621839,-7.857817015567454,-7.857817015567454,-7.857817015567454,-7.963037525477048,-7.460773296660806,-7.460773296660806,-7.460773296660806,-7.415030082898284,-7.46053689725334,-7.46053689725334,-7.46053689725334
-8.374711179110337,-9.515871848575443,-9.515871848575443,-9.515871848575443,-8.374711179110337,-9.515871848575443,-9.515871848575443,-9.515871848575443,-8.297519422616231,-8.112818564297083,-8.112818564297083,-8.112818564297083,-7.854051025993668,-8.240162770407307,-8.240162770407307,-8.240162770407307,-8.493656610117604,-7.866609042984951,-7.866609042984951,-7.866609042984951,-7.321250421749477,-7.7431058178346115,-7.7431058178346115,-7.7431058178346115,-8.351010548354576,-7.4230672290362705,-7.4230672290362705,-7.4230672290362705,-7.60918267165226,-7.080490349466196,-7.080490349466196,-7.080490349466196,-7.2170868781983,-7.430740904147421,-7.430740904147421,-7.430740904147421,-8.040264442449999,-7.456237707009859,-7.456237707009859,-7.456237707009859
-8.574579333145987,-8.520447090899873,-8.520447090899873,-8.520447090899873,-8.574579333145987,-8.520447090899873,-8.520447090899873,-8.520447090899873,-8.09841847488864,-8.170418718539619,-8.170418718539619,-8.170418718539619,-7.716310210606483,-7.940214090507331,-7.940214090507331,-7.940214090507331,-8.12098865441222,-8.297507315794505,-8.297507315794505,-8.297507315794505,-9.592308584547393,-8.130878324624227,-8.130878324624227,-8.130878324624227,-7.982878294012011,-7.426178404962282,-7.426178404962282,-7.552778278513394,-7.633746288871003,-7.63014625553121,-7.63014625553121,-7.63014625553121,-7.351283527377902,-8.005456987553043,-8.005456987553043,-8.005456987553043,-7.700906241755155,-7.132575275501638,-7.132575275501638,-7.132575275501638
-9.284878642923768,-8.312189351218665,-8.312189351218665,-8.312189351218665,-9.284878642923768,-8.312189351218665,-8.312189351218665,-8.312189351218665,-8.34018823842603,-9.429199569548135,-9.429199569548135,-9.429199569548135,-7.599691245825802,-7.545216501223663,-7.545216501223663,-7.545216501223663,-7.465081976379873,-8.000893096321667,-7.819272383849894,-8.000893096321667,-8.404296249518005,-7.623742314844225,-7.623742314844225,-7.623742314844225,-7.590656489806202,-7.18484209494653,-7.18484209494653,-8.109580775186988,-7.902228735516006,-7.349440939321115,-7.349440939321115,-7.349440939321115,-7.699024305035323,-7.151501699904128,-7.151501699904128,-7.151501699904128,-7.667879068761499,-7.328010876968607,-7.328010876968607,-7.328010876968607
-8.951835539419475,-7.978242299881589,-7.978242299881589,-7.978242299881589,-8.951835539419475,-7.978242299881589,-7.978242299881589,-7.978242299881589,-7.766409260868558,-7.722274586232578,-7.722274586232578,-7.722274586232578,-7.278589226267705,-7.8902326942490015,-7.8902326942490015,-7.8902326942490015,-7.962394608173298,-8.05853930443154,-8.05853930443154,-8.05853930443154,-8.115050260550406,-8.716300698510759,-8.716300698510759,-8.716300698510759,-6.558563699438249,-7.923335858236822,-7.923335858236822,-7.923335858236822,-7.700006708910635,-7.513134185214243,-7.513134185214243,-7.513134185214243,-7.771562148694759,-6.707347726255403,-6.707347726255403,-6.707347726255403,-7.7122768246638485,-7.510367368619557,-7.510367368619557,-7.510367368619557
-8.213314375337765,-8.764021961242092,-8.764021961242092,-8.764021961242092,-8.213314375337765,-8.764021961242092,-8.764021961242092,-8.764021961242092,-8.984297297803518,-7.668899411181627,-7.668899411181627,-7.668899411181627,-7.906510617011241,-7.689234732425385,-7.689234732425385,-7.689234732425385,-7.324672161114975,-7.37771474998665,-7.37771474998665,-7.37771474998665,-8.316239063513219,-7.315098403281451,-7.315098403281451,-7.315098403281451,-7.22540622242352,-8.0549623277779,-8.0549623277779,-8.0549623277779,-7.487679829885249,-7.249723484764145,-7.249723484764145,-7.249723484764145,-8.160068596374012,-7.476805578586904,-7.476805578586904,-7.7700620077133635,-8.625760696236163,-7.561445495537492,-7.561445495537492,-7.561445495537492
-7.908572527256582,-8.785737451557774,-8.785737451557774,-8.785737451557774,-7.908572527256582,-8.785737451557774,-8.785737451557774,-8.785737451557774,-8.292476025298704,-7.904752936800107,-7.904752936800107,-7.904752936800107,-8.639463333211541,-7.366642125384896,-7.366642125384896,-7.366642125384896,-7.489800621943104,-7.27920942659757,-7.27920942659757,-7.27920942659757,-7.9851998944259055,-8.575855757123072,-8.575855757123072,-8.575855757123072,-8.024791330227316,-8.779712071938189,-8.779712071938189,-8.779712071938189,-7.843974916330602,-7.790550097858771,-7.790550097858771,-7.790550097858771,-7.158614626795728,-6.936869066437538,-6.936869066437538,-6.936869066437538,-8.208324429320625,-7.818098219378318,-7.818098219378318,-7.818098219378318
-9.600874336091778,-8.756817257435266,-8.756817257435266,-8.756817257435266,-9.600874336091778,-8.756817257435266,-8.756817257435266,-8.756817257435266,-7.694006558790447,-8.7267437073595,-8.7267437073595,-8.7267437073595,-7.239607370044663,-6.810538008206527,-6.810538008206527,-6.810538008206527,-8.116159065264014,-7.83571078516575,-7.83571078516575,-7.83571078516575,-7.824012424753546,-7.85358385571933,-7.85358385571933,-7.85358385571933,-7.07661712733078,-7.045596345496529,-7.045596345496529,-7.045596345496529,-8.085867032021245,-7.329010098384495,-7.329010098384495,-7.329010098384495,-7.239426655158161,-8.73211226165652,-8.73211226165652,-8.73211226165652,-8.146157058122057,-7.9505504675326035,-7.9505504675326035,-7.9505504675326035
-10.0,-8.612634798896774,-8.612634798896774,-8.612634798896774,-10.0,-8.612634798896774,-8.612634798896774,-8.612634798896774,-9.019957026453312,-7.645428970726837,-7.645428970726837,-7.645428970726837,-8.31140816844193,-6.765223797588706,-6.765223797588706,-6.765223797588706,-7.0904284438572525,-7.324825760975517,-7.324825760975517,-7.324825760975517,-7.901389744210856,-7.625515606415627,-7.625515606415627,-7.935608526982177,-7.395249251116082,-7.578911672349777,-7.578911672349777,-7.578911672349777,-7.749769529486491,-7.436852279116804,-7.436852279116804,-7.436852279116804,-7.224103355642828,-8.117579427430968,-8.117579427430968,-8.117579427430968,-6.706649412317961,-8.454190128704303,-8.454190128704303,-8.454190128704303
-8.533094792195469,-9.389229139972151,-9.389229139972151,-9.389229139972151,-8.533094792195469,-9.389229139972151,-9.389229139972151,-9.389229139972151,-7.987572325029555,-8.290568965031918,-8.290568965031918,-8.290568965031918,-9.116675698321115,-7.71159943351782,-7.71159943351782,-7.71159943351782,-7.738032670194537,-8.643595853939908,-8.643595853939908,-8.643595853939908,-7.715893564758208,-7.95369855776616,-7.95369855776616,-7.95369855776616,-7.486839627949134,-7.610091400760342,-7.610091400760342,-7.610091400760342,-7.099681534000085,-7.381955777281243,-7.381955777281243,-7.381955777281243,-7.945137946106223,-6.818414004867477,-6.818414004867477,-6.818414004867477,-7.932124221029973,-7.669788281721502,-7.669788281721502,-7.669788281721502
