Sectioning,NGS,UNGS,NV,Sectioning.1,NGS.1,UNGS.1,NV.1,Sectioning.1.1,NGS.1.1,UNGS.1.1,NV.1.1,Sectioning.1.1.1,NGS.1.1.1,UNGS.1.1.1,NV.1.1.1,Sectioning.1.1.1.1,NGS.1.1.1.1,UNGS.1.1.1.1,NV.1.1.1.1,Sectioning.1.1.1.1.1,NGS.1.1.1.1.1,UNGS.1.1.1.1.1,NV.1.1.1.1.1,Sectioning.1.1.1.1.1.1,NGS.1.1.1.1.1.1,UNGS.1.1.1.1.1.1,NV.1.1.1.1.1.1,Sectioning.1.1.1.1.1.1.1,NGS.1.1.1.1.1.1.1,UNGS.1.1.1.1.1.1.1,NV.1.1.1.1.1.1.1,Sectioning,NGS,UNGS,NV
-6.887746621426309,-7.828268821144068,-7.828268821144068,-7.828268821144068,-6.572229654596123,-7.977553644427935,-7.977553644427935,-7.977553644427935,-7.32628527043245,-7.015273225063984,-7.015273225063984,-7.015273225063984,-7.210318371058103,-6.936669883983278,-6.936669883983278,-6.936669883983278,-7.021309665807611,-6.857954596775925,-6.857954596775925,-7.686660033778944,-7.237373751391406,-7.369562798109859,-7.369562798109859,-7.369562798109859,-6.280456520845601,-6.276335995457541,-6.276335995457541,-6.276335995457541,-6.576564658493599,-6.576820266290114,-6.576820266290114,-6.576820266290114,-7.328080908732684,-6.176224296680757,-6.176224296680757,-7.701913112575578
-7.789928625972557,-8.359840401587626,-8.359840401587626,-8.359840401587626,-7.60167994108358,-7.879535024802523,-7.879535024802523,-7.879535024802523,-7.0839905044492495,-7.193917555381671,-7.193917555381671,-7.193917555381671,-7.38214458754768,-7.639532971480301,-7.639532971480301,-7.639532971480301,-6.993661996639023,-7.009374660859872,-7.009374660859872,-7.009374660859872,-7.400236250593979,-6.849317431927689,-6.849317431927689,-7.815981933639945,-7.844176970142763,-7.1790937199426175,-7.1790937199426175,-7.950301063102208,-7.557025392877563,-7.5268140538002895,-7.5268140538002895,-7.5268140538002895,-7.955764067460845,-7.678115847605266,-6.782102387583438,-7.678115847605266
-8.52065050927523,-7.37457904205063,-7.37457904205063,-7.37457904205063,-8.273359971365272,-7.754410373002842,-7.754410373002842,-7.754410373002842,-6.994113022980442,-7.183013763638169,-7.183013763638169,-7.183013763638169,-7.568367519616261,-7.105986229114134,-7.105986229114134,-7.105986229114134,-6.932948878038738,-6.909255267993325,-6.909255267993325,-7.62572340576823,-7.2959063759498735,-7.205399143294491,-7.205399143294491,-7.835971944639652,-6.981360270824961,-6.784318519955853,-6.784318519955853,-6.784318519955853,-6.575222424526104,-6.593291192107949,-6.593291192107949,-7.504489385850747,-7.678484123335321,-6.5870013720393565,-6.5870013720393565,-7.677364460820702
-7.319674934310072,-8.131939482869564,-8.131939482869564,-8.131939482869564,-7.508966732343099,-8.083154711746609,-8.083154711746609,-8.083154711746609,-7.637971843078713,-8.034754208573785,-8.034754208573785,-8.034754208573785,-7.008649310922647,-7.458484373380851,-7.458484373380851,-7.458484373380851,-7.495414638072976,-7.398337298060644,-7.398337298060644,-7.398337298060644,-7.146021491801252,-7.066224815222791,-7.066224815222791,-7.066224815222791,-6.952523251706555,-6.901080476176849,-6.901080476176849,-6.901080476176849,-6.947371680651733,-6.997458528695391,-6.997458528695391,-7.648616887952768,-6.7972591460512355,-7.724921074262932,-7.724921074262932,-7.724921074262932
-8.069058912445724,-8.195906716948638,-8.195906716948638,-8.195906716948638,-7.719101128146018,-7.494793791471386,-7.494793791471386,-7.494793791471386,-7.141489549907867,-6.925032064240383,-6.925032064240383,-6.925032064240383,-6.904561274417837,-7.351809628815708,-7.351809628815708,-7.351809628815708,-7.345358465904916,-7.153403381042671,-7.153403381042671,-7.153403381042671,-7.047344860663608,-7.461201044980764,-7.461201044980764,-7.588777365064926,-7.015321141032619,-7.274174700677776,-7.274174700677776,-7.645493092417822,-7.224665222088934,-7.079612479604348,-7.079612479604348,-7.079612479604348,-6.822336570814871,-6.82233657081487,-6.82233657081487,-6.82233657081487
-7.946007964783529,-8.618366799426537,-8.618366799426537,-8.618366799426537,-7.581014722307188,-7.261682066095085,-7.261682066095085,-7.5227864775064,-7.379410233436531,-7.41047073298204,-7.41047073298204,-7.41047073298204,-8.031232447751389,-7.044381619775423,-7.044381619775423,-7.444753332038588,-6.831956441353542,-7.396632125642058,-7.396632125642058,-7.396632125642058,-7.469426468262437,-7.416625798405186,-7.416625798405186,-7.416625798405186,-7.185963797771035,-7.32886816151255,-6.799912033262068,-7.581214377495601,-6.729386145061205,-6.5600255707584285,-6.5600255707584285,-6.5600255707584285,-7.965851295267021,-7.2809640903689505,-7.2809640903689505,-7.82177420454363
-7.8427729143300144,-8.255547908897306,-8.255547908897306,-8.255547908897306,-8.071176116336815,-7.377130851402803,-7.377130851402803,-7.629357064198702,-7.157670180020274,-7.804125011555129,-7.804125011555129,-7.804125011555129,-7.450507251287104,-7.278657791757372,-7.278657791757372,-7.278657791757372,-7.3166134461418,-7.598554099898146,-7.598554099898146,-7.598554099898146,-7.16866522223252,-7.145821487474756,-7.145821487474756,-7.145821487474756,-6.629578247893543,-6.629041388193976,-6.629041388193976,-6.629041388193976,-6.739173212196976,-6.430981195138405,-6.430981195138405,-7.683481730834814,-7.173333316725088,-8.006581090457699,-8.006581090457699,-8.006581090457699
-8.531936031665618,-8.746106928597293,-8.746106928597293,-8.746106928597293,-7.578340095981423,-7.933964042144451,-7.933964042144451,-7.933964042144451,-7.552691755456625,-7.560966987667359,-7.560966987667359,-7.560966987667359,-6.97402762440408,-6.322879747314451,-6.322879747314451,-7.266850269472407,-7.29585749779821,-7.026438818051284,-6.440894197930669,-7.263696575610459,-7.399895109363081,-7.551684333250902,-7.551684333250902,-7.551684333250902,-7.208779419120609,-7.167379849107321,-7.167379849107321,-7.580944111931926,-6.630930175681318,-7.3580463376221665,-6.723669296993323,-6.723669296993323,-7.5896928945941085,-7.589692894594109,-7.589692894594109,-7.589692894594109
-7.833539416291779,-7.793681672817113,-7.793681672817113,-7.793681672817113,-6.5673294132018105,-7.961400987359313,-7.961400987359313,-7.961400987359313,-7.450694014642412,-7.435276897125933,-7.435276897125933,-7.435276897125933,-7.13147647289627,-7.015255559176824,-7.015255559176824,-7.015255559176824,-7.086522776543305,-6.920415674226302,-6.920415674226302,-6.920415674226302,-7.174649338285975,-6.863191545122568,-6.863191545122568,-6.863191545122568,-7.098871349599033,-7.072968307552429,-7.072968307552429,-7.072968307552429,-6.896694991849686,-6.9139432415444,-6.9139432415444,-6.9139432415444,-7.747823180424065,-7.042484013964412,-7.042484013964412,-7.042484013964412
-8.138745785651235,-7.9904992396371695,-7.9904992396371695,-7.9904992396371695,-7.994788687669331,-7.632674268891112,-7.632674268891112,-7.632674268891112,-7.4803589795774865,-7.828628812269947,-7.828628812269947,-7.828628812269947,-7.255544908843593,-6.937999350066068,-6.937999350066068,-6.937999350066068,-7.076179089949559,-7.09612796920905,-7.09612796920905,-7.09612796920905,-6.686821221672618,-6.698292502455665,-6.698292502455665,-7.346287129003761,-6.841322215062685,-6.846801702390718,-6.846801702390718,-6.846801702390718,-7.908905618010381,-7.593299105789205,-7.593299105789205,-7.86524289513121,-6.593967485934552,-7.776588134979878,-6.567770199436742,-7.776588134979878
