Objective,Feasibility,Algorithm,Training Percentage,Data Size,Folds
-7.564733846,0.16,NGS,80,100,0
-7.564733846,0.16,UNGS,80,100,0
-7.619555173,0.13,NV,80,100,0
-7.894449659,0.04,Sectioning,90,100,0
-7.742831787,0.08,NGS,90,100,0
-7.742831787,0.08,UNGS,90,100,0
-7.742831787,0.08,NV,90,100,0
-6.96026105,0.81,CV,100,200,10
-6.946948974,0.78,BS,100,200,10
-6.901354346,0.87,CV,100,200,5
-7.032666874,0.7,BS,100,200,5
-7.010694677,0.79,CV,100,200,3
-7.195335403,0.54,BS,100,200,3
-7.249095173,0.4,CV,100,100,10
-7.427399794,0.21,BS,100,100,10
-7.197273519,0.42,CV,100,100,5
-7.645238225,0.21,BS,100,100,5
-7.439330173,0.21,CV,100,100,3
-7.819359015,0.13,BS,100,100,3
-6.783146876,0.94,CV,100,300,10
-6.810977404,0.95,BS,100,300,10
-6.795594154,0.92,CV,100,300,5
-6.864559012,0.86,BS,100,300,5
-6.8803497,0.87,CV,100,300,3
-6.871925483,0.85,BS,100,300,3
-6.764472557,0.92,CV,100,400,10
-6.643602157,0.99,BS,100,400,10
-6.842532198,0.89,CV,100,400,5
-6.762983998,0.93,BS,100,400,5
-6.807332619,0.89,CV,100,400,3
-6.808999534,0.89,BS,100,400,3
-6.696870278,0.97,CV,100,500,10
-6.682547265,0.97,BS,100,500,10
-6.753668952,0.91,CV,100,500,5
-6.630630249,0.96,BS,100,500,5
-6.792682417,0.89,CV,100,500,3
-6.756671168,0.9,BS,100,500,3
-6.819715297,0.88,CV,100,600,10
-6.74283136,0.95,BS,100,600,10
-6.744817959,0.94,CV,100,600,5
-6.641531529,0.99,BS,100,600,5
-6.798488547,0.9,CV,100,600,3
-6.739720656,0.94,BS,100,600,3
-6.693312574,0.92,CV,100,700,10
-6.674539324,0.98,BS,100,700,10
-6.779122194,0.9,CV,100,700,5
-6.661826974,0.97,BS,100,700,5
-6.75218812,0.91,CV,100,700,3
-6.743898961,0.88,BS,100,700,3
-6.725386596,0.94,CV,100,800,10
-6.654633132,0.98,BS,100,800,10
-6.756252009,0.88,CV,100,800,5
-6.63199782,0.97,BS,100,800,5
-6.739421897,0.93,CV,100,800,3
-6.645012097,0.97,BS,100,800,3
-6.675358074,0.96,CV,100,900,10
-6.650234066,0.99,BS,100,900,10
-6.737665583,0.93,CV,100,900,5
-6.66310116,0.99,BS,100,900,5
-6.787329597,0.93,CV,100,900,3
-6.694730181,0.94,BS,100,900,3
-6.736196105,0.93,CV,100,1000,10
-6.691027267,0.97,BS,100,1000,10
-6.689212099,0.97,CV,100,1000,5
-6.645124836,0.98,BS,100,1000,5
-6.735690536,0.96,CV,100,1000,3
-6.696823217,0.95,BS,100,1000,3
-7.318685439,0.39,Sectioning,10,1000,0
-7.276213801,0.39,NGS,10,1000,0
-7.272228579,0.39,UNGS,10,1000,0
-7.286677347,0.34,NV,10,1000,0
-6.909485177,0.85,Sectioning,20,1000,0
-6.9263177,0.92,NGS,20,1000,0
-6.914289139,0.92,UNGS,20,1000,0
-6.995769732,0.81,NV,20,1000,0
-6.774806799,1,Sectioning,30,1000,0
-6.820669807,1,NGS,30,1000,0
-6.820892275,1,UNGS,30,1000,0
-7.005527519,0.87,NV,30,1000,0
-6.735315921,1,Sectioning,40,1000,0
-6.76236054,0.99,NGS,40,1000,0
-6.774149591,0.97,UNGS,40,1000,0
-6.988380188,0.79,NV,40,1000,0
-6.645941907,1,Sectioning,50,1000,0
-6.73451459,1,NGS,50,1000,0
-6.743600241,1,UNGS,50,1000,0
-6.908759769,0.9,NV,50,1000,0
-6.747086551,1,Sectioning,60,1000,0
-6.714938474,1,NGS,60,1000,0
-6.733134531,0.99,UNGS,60,1000,0
-6.882876636,0.9,NV,60,1000,0
-6.58891619,1,Sectioning,70,1000,0
-6.715907785,1,NGS,70,1000,0
-6.730496349,0.98,UNGS,70,1000,0
-6.967218384,0.87,NV,70,1000,0
-6.701603206,0.98,Sectioning,80,1000,0
-6.640869085,0.97,NGS,80,1000,0
-6.66617979,0.95,UNGS,80,1000,0
-6.839950807,0.91,NV,80,1000,0
-6.465613557,1,Sectioning,90,1000,0
-6.53616031,1,NGS,90,1000,0
-6.51373683,1,UNGS,90,1000,0
-6.777042534,0.95,NV,90,1000,0
-7.410149407,0.25,Sectioning,10,900,0
-7.324990442,0.34,NGS,10,900,0
-7.322516443,0.34,UNGS,10,900,0
-7.339517212,0.31,NV,10,900,0
-7.026070788,0.74,Sectioning,20,900,0
-6.968615501,0.86,NGS,20,900,0
-6.964682581,0.86,UNGS,20,900,0
-7.043979582,0.72,NV,20,900,0
-6.832172103,0.96,Sectioning,30,900,0
-6.883307462,0.99,NGS,30,900,0
-6.884889914,0.99,UNGS,30,900,0
-7.022292152,0.87,NV,30,900,0
-6.694622886,0.97,Sectioning,40,900,0
-6.80089977,1,NGS,40,900,0
-6.779986493,0.98,UNGS,40,900,0
-6.952777321,0.94,NV,40,900,0
-6.69120993,1,Sectioning,50,900,0
-6.723480718,0.99,NGS,50,900,0
-6.720867994,0.99,UNGS,50,900,0
-6.843883447,0.96,NV,50,900,0
-6.596729889,0.99,Sectioning,60,900,0
-6.742496292,1,NGS,60,900,0
-6.751738648,0.99,UNGS,60,900,0
-6.934426638,0.91,NV,60,900,0
-6.62509197,0.99,Sectioning,70,900,0
-6.700123405,1,NGS,70,900,0
-6.694221359,1,UNGS,70,900,0
-6.893576688,0.87,NV,70,900,0
-6.438540855,1,Sectioning,80,900,0
-6.611625948,1,NGS,80,900,0
-6.60869877,1,UNGS,80,900,0
-6.84911762,0.92,NV,80,900,0
-6.568764065,1,Sectioning,90,900,0
-6.613324283,0.98,NGS,90,900,0
-6.577925052,0.98,UNGS,90,900,0
-6.82855435,0.89,NV,90,900,0
-7.516361754,0.25,Sectioning,10,800,0
-7.397557211,0.25,NGS,10,800,0
-7.397557211,0.25,UNGS,10,800,0
-7.410443554,0.2,NV,10,800,0
-6.991613956,0.7,Sectioning,20,800,0
-7.031828071,0.78,NGS,20,800,0
-7.019642467,0.77,UNGS,20,800,0
-7.097230546,0.66,NV,20,800,0
-6.845306809,0.95,Sectioning,30,800,0
-6.875978258,0.97,NGS,30,800,0
-6.86270956,0.97,UNGS,30,800,0
-7.002690944,0.81,NV,30,800,0
-6.755786962,0.99,Sectioning,40,800,0
-6.803030355,0.99,NGS,40,800,0
-6.790410671,0.99,UNGS,40,800,0
-6.974349381,0.87,NV,40,800,0
-6.802751637,0.98,Sectioning,50,800,0
-6.746296746,0.99,NGS,50,800,0
-6.739781413,1,UNGS,50,800,0
-6.923503584,0.87,NV,50,800,0
-6.614761662,0.99,Sectioning,60,800,0
-6.708308322,0.99,NGS,60,800,0
-6.693983027,0.98,UNGS,60,800,0
-6.927592281,0.89,NV,60,800,0
-6.729663199,0.95,Sectioning,70,800,0
-6.710488131,1,NGS,70,800,0
-6.711413951,1,UNGS,70,800,0
-6.874392555,0.93,NV,70,800,0
-6.48137767,1,Sectioning,80,800,0
-6.675000482,0.98,NGS,80,800,0
-6.662560174,0.97,UNGS,80,800,0
-6.886751305,0.85,NV,80,800,0
-6.584796329,0.97,Sectioning,90,800,0
-6.612323471,0.97,NGS,90,800,0
-6.650867285,0.96,UNGS,90,800,0
-6.915359117,0.86,NV,90,800,0
-7.578922603,0.17,Sectioning,10,700,0
-7.441253129,0.2,NGS,10,700,0
-7.439584659,0.2,UNGS,10,700,0
-7.449916486,0.17,NV,10,700,0
-7.124592252,0.57,Sectioning,20,700,0
-7.109115178,0.69,NGS,20,700,0
-7.103950928,0.69,UNGS,20,700,0
-7.141986344,0.6,NV,20,700,0
-6.892813487,0.92,Sectioning,30,700,0
-6.90127161,0.93,NGS,30,700,0
-6.88820082,0.94,UNGS,30,700,0
-7.023817353,0.76,NV,30,700,0
-6.881423613,0.95,Sectioning,40,700,0
-6.848517426,0.94,NGS,40,700,0
-6.839550153,0.94,UNGS,40,700,0
-7.03074332,0.71,NV,40,700,0
-6.686562645,0.99,Sectioning,50,700,0
-6.781883998,0.99,NGS,50,700,0
-6.766331775,0.99,UNGS,50,700,0
-6.944878151,0.87,NV,50,700,0
-6.730732356,0.99,Sectioning,60,700,0
-6.770095849,1,NGS,60,700,0
-6.753732079,1,UNGS,60,700,0
-6.987511896,0.86,NV,60,700,0
-6.759634041,0.97,Sectioning,70,700,0
-6.735941254,0.98,NGS,70,700,0
-6.716180038,0.98,UNGS,70,700,0
-6.920397893,0.86,NV,70,700,0
-6.576878766,0.99,Sectioning,80,700,0
-6.691215942,0.98,NGS,80,700,0
-6.682876025,0.98,UNGS,80,700,0
-6.981072076,0.82,NV,80,700,0
-6.697760914,0.95,Sectioning,90,700,0
