config,n,split,d,reps,method,coverage,coverage_lo,coverage_hi,mean_obj,mean_oracle_gap,meets
paper_ro_ellipsoid,1000,0.5,5,1000,NV,0.988,0.9791427315245017,0.9931223521935965,-3.4498804259977236,-0.0014795281924797363,True
paper_ro_ellipsoid,1000,0.5,5,1000,UG,1.0,0.996173241514445,1.0,-3.4159633230793927,0.03243757472585159,True
paper_ro_ellipsoid,1000,0.5,5,1000,NGS,1.0,0.996173241514445,1.0,-3.3812835786925484,0.0671173191126957,True
paper_ro_ellipsoid,1000,0.5,5,1000,UNGS,1.0,0.996173241514445,1.0,-3.3785379502959714,0.06986294750927277,True
paper_ro_ellipsoid,1000,0.5,5,1000,benchmark,1.0,0.996173241514445,1.0,-3.025999410968635,0.42240148683660933,True
paper_ro_ellipsoid,100,0.5,100,1000,NV,0.849,0.8254750432083057,0.8698538793687768,-93.64128199339352,0.012417746897799247,False
paper_ro_ellipsoid,100,0.5,100,1000,UG,0.975,0.9633547107321566,0.9830098687065659,-91.52891472607615,2.1247850142151856,True
paper_ro_ellipsoid,100,0.5,100,1000,NGS,0.975,0.9633547107321566,0.9830098687065659,-91.42628644383699,2.2274132964543396,True
paper_ro_ellipsoid,100,0.5,100,1000,UNGS,0.975,0.9633547107321566,0.9830098687065659,-90.25688049302823,3.3968192472631,True
paper_ro_ellipsoid,100,0.5,100,1000,benchmark,1.0,0.996173241514445,1.0,-89.83596171629073,3.8177380240006054,True
paper_ro_ellipsoid,100,0.5,10,1000,NV,0.707,0.6780414921958111,0.7343742297911691,-7.715227567463714,-0.09430320186579072,False
paper_ro_ellipsoid,100,0.5,10,1000,UG,0.968,0.9551752619162314,0.9772428921412891,-7.206145641222568,0.4147787243753555,True
paper_ro_ellipsoid,100,0.5,10,1000,NGS,0.969,0.9563345039877078,0.9780759965528414,-7.135290031660417,0.4856343339375053,True
paper_ro_ellipsoid,100,0.5,10,1000,UNGS,0.982,0.9717267448294926,0.9885842599904322,-6.7035000959590025,0.9174242696389203,True
paper_ro_ellipsoid,100,0.5,10,1000,benchmark,1.0,0.996173241514445,1.0,-6.901634398385977,0.7192899672119493,True
paper_ro_ellipsoid,100,0.5,20,1000,NV,0.681,0.6514663972750635,0.7091483161531656,-16.69392144741527,-0.18716467830014646,False
paper_ro_ellipsoid,100,0.5,20,1000,UG,0.958,0.9437155747733968,0.9687791144538346,-15.855378785551382,0.651377983563745,True
paper_ro_ellipsoid,100,0.5,20,1000,NGS,0.958,0.9437155747733968,0.9687791144538346,-15.778009895165148,0.728746873949978,True
paper_ro_ellipsoid,100,0.5,20,1000,UNGS,0.962,0.9482730796686497,0.9721909954906974,-15.101125324209992,1.4056314449051348,True
paper_ro_ellipsoid,100,0.5,20,1000,benchmark,1.0,0.996173241514445,1.0,-15.324547637443258,1.1822091316718726,True
paper_ro_ellipsoid,100,0.5,2,1000,NV,0.716,0.6872658654245983,0.7430809749096418,-1.188634875640443,-0.018921925748127087,False
paper_ro_ellipsoid,100,0.5,2,1000,UG,0.972,0.9598298168024069,0.9805577231872291,-1.0690576446592759,0.10065530523303982,True
paper_ro_ellipsoid,100,0.5,2,1000,NGS,0.973,0.9610012692469598,0.9813786172257051,-1.0508952981570427,0.11881765173527296,True
paper_ro_ellipsoid,100,0.5,2,1000,UNGS,0.989,0.9804106042992137,0.9938468259019134,-0.9535103315076374,0.2162026183846784,True
paper_ro_ellipsoid,100,0.5,2,1000,benchmark,1.0,0.996173241514445,1.0,-0.9727869233715887,0.1969260265207269,True
paper_ro_ellipsoid,100,0.5,50,1000,NV,0.825,0.800218354614785,0.8472942523696041,-44.83076742289878,-0.05438945887505287,False
paper_ro_ellipsoid,100,0.5,50,1000,UG,0.973,0.9610012692469598,0.9813786172257051,-43.35785359003316,1.418524373990569,True
paper_ro_ellipsoid,100,0.5,50,1000,NGS,0.973,0.9610012692469598,0.9813786172257051,-43.31639372466381,1.4599842393599174,True
paper_ro_ellipsoid,100,0.5,50,1000,UNGS,0.974,0.9621761711573101,0.9821960617983837,-42.56585855582307,2.2105194082006556,True
paper_ro_ellipsoid,100,0.5,50,1000,benchmark,1.0,0.996173241514445,1.0,-42.46409155317787,2.312286410845847,True
paper_ro_ellipsoid,100,0.5,5,1000,NV,0.681,0.6514663972750635,0.7091483161531656,-3.5072883256124707,-0.05793380047957089,False
paper_ro_ellipsoid,100,0.5,5,1000,UG,0.961,0.9471306895804986,0.9713410390958196,-3.2172892672366253,0.23206525789627444,True
paper_ro_ellipsoid,100,0.5,5,1000,NGS,0.963,0.9494176025179306,0.9730388191244452,-3.175461506343133,0.27389301878976685,True
paper_ro_ellipsoid,100,0.5,5,1000,UNGS,0.987,0.9778855576244203,0.9923871796106489,-2.9446790763275206,0.504675448805379,True
paper_ro_ellipsoid,100,0.5,5,1000,benchmark,1.0,0.996173241514445,1.0,-3.025999410968635,0.4233551141642649,True
paper_ro_ellipsoid,2000,0.5,100,1000,NV,1.0,0.996173241514445,1.0,-89.17998866270308,4.973799150320702e-16,True
paper_ro_ellipsoid,2000,0.5,100,1000,UG,1.0,0.996173241514445,1.0,-89.17998866270308,4.973799150320702e-16,True
paper_ro_ellipsoid,2000,0.5,100,1000,NGS,1.0,0.996173241514445,1.0,-89.17998866270308,4.973799150320702e-16,True
paper_ro_ellipsoid,2000,0.5,100,1000,UNGS,1.0,0.996173241514445,1.0,-89.17998866270308,4.973799150320702e-16,True
paper_ro_ellipsoid,2000,0.5,100,1000,benchmark,1.0,0.996173241514445,1.0,-89.83596171629073,-0.6559730535876447,True
paper_ro_ellipsoid,2000,0.5,10,1000,NV,0.932,0.9146861384770105,0.9460075421914699,-7.490653606548437,-0.04521182990336278,False
paper_ro_ellipsoid,2000,0.5,10,1000,UG,1.0,0.996173241514445,1.0,-7.442953550857935,0.0024882257871390616,True
paper_ro_ellipsoid,2000,0.5,10,1000,NGS,1.0,0.996173241514445,1.0,-7.442953550857935,0.0024882257871390616,True
paper_ro_ellipsoid,2000,0.5,10,1000,UNGS,1.0,0.996173241514445,1.0,-7.442953550857935,0.0024882257871390616,True
paper_ro_ellipsoid,2000,0.5,10,1000,benchmark,1.0,0.996173241514445,1.0,-6.901634398385977,0.5438073782591009,True
paper_ro_ellipsoid,2000,0.5,20,1000,NV,0.987,0.9778855576244203,0.9923871796106489,-16.785991311730122,0.11562250760619813,True
paper_ro_ellipsoid,2000,0.5,20,1000,UG,0.999,0.9943574414020421,0.9998234536293739,-16.25466933738669,0.6469444819496296,True
paper_ro_ellipsoid,2000,0.5,20,1000,NGS,0.999,0.9943574414020421,0.9998234536293739,-16.06598986422187,0.8356239551144494,True
paper_ro_ellipsoid,2000,0.5,20,1000,UNGS,0.999,0.9943574414020421,0.9998234536293739,-16.249744974802724,0.6518688445335954,True
paper_ro_ellipsoid,2000,0.5,20,1000,benchmark,1.0,0.996173241514445,1.0,-15.324547637443258,1.5770661818930647,True
paper_ro_ellipsoid,2000,0.5,2,1000,NV,0.999,0.9943574414020421,0.9998234536293739,-1.1894786832960604,0.004585081577418958,True
paper_ro_ellipsoid,2000,0.5,2,1000,UG,1.0,0.996173241514445,1.0,-1.1598911836335357,0.034172581239943614,True
paper_ro_ellipsoid,2000,0.5,2,1000,NGS,1.0,0.996173241514445,1.0,-1.1379675719901132,0.056096192883366244,True
paper_ro_ellipsoid,2000,0.5,2,1000,UNGS,1.0,0.996173241514445,1.0,-1.1412002869576996,0.052863477915780006,True
paper_ro_ellipsoid,2000,0.5,2,1000,benchmark,1.0,0.996173241514445,1.0,-0.9727869233715887,0.22127684150189048,True
paper_ro_ellipsoid,2000,0.5,50,1000,NV,1.0,0.996173241514445,1.0,-43.88488325904832,-3.0553337637684306e-16,True
paper_ro_ellipsoid,2000,0.5,50,1000,UG,1.0,0.996173241514445,1.0,-43.88488325904832,-3.0553337637684306e-16,True
paper_ro_ellipsoid,2000,0.5,50,1000,NGS,1.0,0.996173241514445,1.0,-43.88488325904832,-3.0553337637684306e-16,True
paper_ro_ellipsoid,2000,0.5,50,1000,UNGS,1.0,0.996173241514445,1.0,-43.88488325904832,-3.0553337637684306e-16,True
paper_ro_ellipsoid,2000,0.5,50,1000,benchmark,1.0,0.996173241514445,1.0,-42.46409155317787,1.4207917058704465,True
paper_ro_ellipsoid,2000,0.5,5,1000,NV,0.998,0.9927371921365079,0.9994513564118793,-3.4462442791301,-0.000512592954113292,True
paper_ro_ellipsoid,2000,0.5,5,1000,UG,1.0,0.996173241514445,1.0,-3.4415505382440306,0.004181147931956554,True
paper_ro_ellipsoid,2000,0.5,5,1000,NGS,1.0,0.996173241514445,1.0,-3.4304886406075656,0.01524304556842103,True
paper_ro_ellipsoid,2000,0.5,5,1000,UNGS,1.0,0.996173241514445,1.0,-3.432213336597899,0.013518349578087799,True
