config,n,split,d,reps,method,coverage,coverage_lo,coverage_hi,mean_obj,mean_oracle_gap,meets
paper_dro_wasserstein,200,0.8,10,500,NV,0.36,0.3191414324050707,0.40299338292416403,-7.954430870035604,-0.12637823274469498,False
paper_dro_wasserstein,200,0.8,10,500,UG,0.93,0.9042028101480832,0.949240257054982,-7.115815765968084,0.7122368713228251,False
paper_dro_wasserstein,200,0.8,10,500,NGS,0.93,0.9042028101480832,0.949240257054982,-7.115815765968084,0.7122368713228251,False
paper_dro_wasserstein,200,0.8,10,500,UNGS,0.96,0.9390264041651492,0.9739592026102227,-3.67522858404183,4.15282405324908,True
paper_dro_wasserstein,200,0.8,5,500,NV,0.404,0.36187922469306827,0.44758464867554987,-3.6049012026761873,-0.02970287181885901,False
paper_dro_wasserstein,200,0.8,5,500,UG,0.92,0.8928936834221488,0.9407018705901475,-3.1724913953829335,0.40270693547439435,False
paper_dro_wasserstein,200,0.8,5,500,NGS,0.92,0.8928936834221488,0.9407018705901475,-3.1724913953829335,0.40270693547439435,False
paper_dro_wasserstein,200,0.8,5,500,UNGS,0.95,0.9272318388284524,0.9659062547561506,-1.8048939330609088,1.7703043977964195,True
paper_dro_wasserstein,200,0.9,10,500,NV,0.266,0.2291604018204711,0.30640778951553543,-8.007259608765862,-0.1675390008416279,False
paper_dro_wasserstein,200,0.9,10,500,UG,0.852,0.8181938697042727,0.8804385946107945,-7.040703091117533,0.799017516806701,False
paper_dro_wasserstein,200,0.9,10,500,NGS,0.852,0.8181938697042727,0.8804385946107945,-7.040703091117533,0.799017516806701,False
paper_dro_wasserstein,200,0.9,10,500,UNGS,0.916,0.888400685539819,0.9372558631961696,-2.7674395806644805,5.072281027259753,False
paper_dro_wasserstein,200,0.9,5,500,NV,0.352,0.31141084189074275,0.3948459628858768,-3.618657634838239,-0.038812885193256076,False
paper_dro_wasserstein,200,0.9,5,500,UG,0.874,0.8420322822801359,0.900264711054623,-3.1289479871013866,0.45089676254359706,False
paper_dro_wasserstein,200,0.9,5,500,NGS,0.874,0.8420322822801359,0.900264711054623,-3.1289479871013866,0.45089676254359706,False
paper_dro_wasserstein,200,0.9,5,500,UNGS,0.916,0.888400685539819,0.9372558631961696,-1.1367910142650162,2.4430537353799675,False
paper_ro_ellipsoid,1000,0.1,10,500,NV,0.962,0.9414152274693561,0.9755398819441696,-7.601061383774314,-0.00708685419799404,True
paper_ro_ellipsoid,1000,0.1,10,500,UG,0.998,0.9887592932948532,0.9996468636054407,-7.514244243477793,0.07973028609852639,True
paper_ro_ellipsoid,1000,0.1,10,500,NGS,1.0,0.9923756595384479,1.0,-7.470338440631724,0.12363608894459761,True
paper_ro_ellipsoid,1000,0.1,10,500,UNGS,1.0,0.9923756595384479,1.0,-7.476296569874238,0.11767795970208227,True
paper_ro_ellipsoid,1000,0.1,10,500,benchmark,1.0,0.9923756595384479,1.0,-6.901634398385975,0.6923401311903468,True
paper_ro_ellipsoid,1000,0.1,2,500,NV,0.946,0.9225734384893529,0.9626256498189425,-1.1750619384163097,-0.0008776181595722847,False
