Objective,Feasibility,Algorithm,Training Percentage,Data Size,Folds
-6.525286419969868,0.89,UG,40,160,0
-6.374354661611118,0.98,NGS,50,160,0
-2.4447804003590226,0.99,UNGS,50,160,0
-7.143671876936759,0.56,NV,50,160,0
-6.671394228587119,0.93,UG,50,160,0
-6.578770181773998,0.87,NGS,60,160,0
-2.144082211020496,0.98,UNGS,60,160,0
-7.200666514842218,0.47,NV,60,160,0
-6.578770181773998,0.87,UG,60,160,0
-6.28604075161761,0.91,NGS,70,160,0
-2.215987283884536,0.95,UNGS,70,160,0
-7.266097930599613,0.39,NV,70,160,0
-6.904922348529647,0.68,UG,70,160,0
-6.5288690354504615,0.77,NGS,80,160,0
-1.70265594846393,0.93,UNGS,80,160,0
-7.150977459422441,0.5,NV,80,160,0
-6.5288690354504615,0.77,UG,80,160,0
-6.979865968561926,0.55,NGS,90,160,0
-2.414879071972308,0.81,UNGS,90,160,0
-6.979865968561926,0.55,NV,90,160,0
-6.979865968561926,0.55,UG,90,160,0
-6.212699488511899,0.99,NGS,10,180,0
-5.0918734711643,1.0,UNGS,10,180,0
-6.7061303895822775,0.84,NV,10,180,0
-6.388470099457527,0.98,UG,10,180,0
-6.302198534702869,0.98,NGS,20,180,0
-4.767878762193916,1.0,UNGS,20,180,0
-6.934977173564845,0.64,NV,20,180,0
-6.4744483584399015,0.95,UG,20,180,0
-6.428779921729966,0.96,NGS,30,180,0
-4.300498518125552,0.99,UNGS,30,180,0
-7.048211572412315,0.66,NV,30,180,0
-6.491748963869206,0.94,UG,30,180,0
-6.403523218092318,0.95,NGS,40,180,0
-3.742344202315227,1.0,UNGS,40,180,0
-6.9942235295084565,0.64,NV,40,180,0
-6.644655576353342,0.9,UG,40,180,0
-6.412159987275447,0.95,NGS,50,180,0
-2.867715657698311,0.97,UNGS,50,180,0
-7.123401882783647,0.58,NV,50,180,0
-6.671748243978321,0.89,UG,50,180,0
-6.481317493906642,0.88,NGS,60,180,0
-2.5259352879658348,0.97,UNGS,60,180,0
-7.112681833623915,0.55,NV,60,180,0
-6.481317493906642,0.88,UG,60,180,0
-6.208360687934455,0.94,NGS,70,180,0
-1.934753816877648,0.99,UNGS,70,180,0
-7.106070477688697,0.6,NV,70,180,0
-6.684788820513083,0.88,UG,70,180,0
-6.546108246293637,0.78,NGS,80,180,0
