Cross Validation,Bootstrapping,Cross Validation.1,Bootstrapping.1,Cross Validation,Bootstrapping
-6.652862655252323,-6.385954825094579,-6.680595042827918,-6.376555880970908,-6.758583193684974,-6.758583193684974
-6.38242192140509,-6.38242192140509,-6.553977982841496,-6.410235846208984,-7.235509616691717,-7.235509616691717
-7.213440169331712,-6.855963227085512,-6.848579216642332,-6.938525177033357,-7.15193627854079,-6.712522624716355
-6.614222155416939,-6.533709084857359,-6.720692150159324,-7.165370219550991,-6.878562584802472,-6.878562584802472
-6.560929365549076,-6.7702871941351335,-6.836684087666667,-6.836684087666667,-6.925689440535738,-6.658096806828069
-6.719763938428682,-6.8946759099677335,-7.249586389764377,-6.60754287065384,-7.211287114427941,-6.71337465874514
-7.0422282693490725,-6.9628094246975785,-6.665805086911612,-6.665805086911612,-6.857494242279552,-6.518021126028086
-7.28338427096836,-6.462499478734525,-6.964439857706163,-6.665215335214022,-7.204996789497925,-6.831356805059744
-6.600308874487771,-6.532216733131829,-6.520881854161294,-6.520881854161294,-6.884696996941128,-6.884396753754375
-6.281038869968774,-6.281038869968774,-6.45993703718054,-5.901880494175847,-6.752477810869708,-7.603459816274453
-6.821722272015726,-6.553265966564639,-6.436838301732688,-6.526344406274928,-6.594414077313661,-6.594414077313661
-7.760473394712386,-6.763762763443197,-6.758671716301628,-6.773730943144799,-6.359453503575348,-7.0179121874684505
-6.344790481239436,-6.892323694155818,-6.329941521382954,-6.329941521382954,-6.576899531684155,-6.576899531684155
-6.412274463391862,-6.412274463391862,-6.656697328418552,-6.64905959638152,-6.414372319738498,-6.414372319738498
-6.872250141286431,-6.490041781264871,-6.65146588585832,-6.65146588585832,-6.726741237875541,-6.726741237875541
-6.450452431164004,-6.892470844045446,-6.956704932877049,-6.86756454966836,-6.709529238039009,-6.709529238039009
-6.730878021526276,-6.838549782464177,-6.24402977603376,-6.078831882104497,-7.3260574594072,-7.3260574594072
-7.27014822170411,-6.704290922603695,-6.655586994668109,-6.633793635014308,-6.901933386696466,-6.755527204585205
-7.009397325928228,-7.009397325928228,-6.854133286812354,-6.854133286812354,-6.795213061422542,-6.672732139919567
-7.537950457326728,-7.140837354341896,-7.025926718388897,-7.025926718388897,-6.939968163285324,-6.84780891266149
-6.807397522337786,-6.762556227872427,-7.09218453718834,-6.363091178586433,-6.735792089791734,-6.735792089791734
-6.7053669976538375,-6.58317550403511,-7.200336568640972,-7.200336568640972,-6.755627473575301,-6.755627473575301
-6.957564124300627,-7.16868343201605,-6.755257074588188,-6.755257074588188,-6.601717992868871,-6.601717992868871
-7.07898589110217,-7.07898589110217,-6.682232381830704,-6.682232381830704,-6.492887797337241,-6.5247500474794835
-6.620667424596181,-6.624786536627755,-6.672842451963412,-6.533452720536677,-6.5653247494225635,-6.9621848828451265
-7.449870337888996,-7.449870337888996,-6.996571411382918,-6.836373516779698,-6.79828598552608,-6.465639915616024
-6.441285750145317,-6.691225819822974,-6.732322419295361,-6.711149181340598,-6.690784484162269,-6.439510358556728
-7.064928811560125,-7.064928811560125,-6.815778824194151,-6.343298227964354,-6.727790703926241,-6.727790703926241
-7.267525212863937,-7.267525212863937,-6.825935817707376,-6.452848517912761,-6.943179962315048,-6.835834378006598
-7.306539530529924,-6.901866900536456,-6.465107118928419,-6.465107118928419,-6.691041665341349,-6.556864425522873
-6.870184058749696,-6.767000142026533,-6.066668011057433,-6.464849146577487,-6.391622058708531,-6.315534403590011
-6.771116065067057,-6.771830444123999,-6.760878259626433,-6.760878259626433,-6.799181240257083,-6.799181240257083
-6.560914741468669,-6.560914741468669,-6.50826632223919,-6.50826632223919,-7.363536956667398,-6.939193565277906
-6.794315744600629,-6.690523896441507,-6.56272488580632,-6.56272488580632,-6.86106744365893,-6.86106744365893
