Cross Validation,Bootstrapping,Cross Validation.1,Bootstrapping.1,Cross Validation,Bootstrapping
-6.856136964328011,-6.856136964328011,-6.8749397856645125,-6.778801818735261,-6.76948918076564,-6.7187465529158885
-6.6663159083065695,-6.6663159083065695,-7.102679122774758,-7.111565230543303,-7.186072238059203,-7.186072238059203
-6.927242916261953,-6.927242916261953,-7.066795726291521,-7.066795726291521,-7.426546383868983,-7.054419468888087
-7.454123330570479,-7.384181749372326,-7.58192258575151,-6.98008022171801,-6.298408828773946,-6.278083675817636
-6.623887896470565,-6.7185451420747855,-6.658536515805192,-6.764961272471718,-7.079036832881881,-7.079036832881881
-7.00848437933168,-7.062732512434395,-6.279253883266803,-6.434066403359601,-6.799904826480392,-6.689507889057507
-6.5539921490876045,-6.5539921490876045,-7.106440619868808,-7.405123061486542,-7.289881368523504,-6.723170461003178
-6.593894003596661,-6.8207736264569085,-6.65418221840897,-6.65418221840897,-6.694809545949907,-6.898706171484462
-7.30625399924417,-6.867965287276099,-7.732445429805812,-7.038634312116399,-7.203647404349716,-7.268905036466147
-6.522201077135948,-6.522201077135948,-7.429005183824264,-6.897896956162772,-6.88882908940022,-6.709716660570398
-6.666450023428751,-6.471343227449826,-6.824827704492295,-6.7061748926416325,-7.109146965268416,-7.109146965268416
-6.5177964385885385,-6.5177964385885385,-6.722528895249429,-7.12835357089167,-6.502439266268572,-6.636037851178167
-7.416989346539583,-6.781834331748903,-7.030193355553914,-7.030193355553914,-7.8478797217696545,-7.042673094487947
-6.97816500869287,-6.785427943426453,-7.396018439086797,-7.692689053080182,-6.980324447756171,-6.418008640158941
-7.0605184908346885,-7.0605184908346885,-7.24931656312662,-7.24931656312662,-7.082556718837002,-7.145449885738493
-6.99878446402793,-6.99878446402793,-6.469851271508784,-6.286602010921633,-7.181828271342146,-7.181828271342146
-7.144944813547348,-7.144944813547348,-6.918607262679413,-6.963720579689947,-6.578694209969063,-6.976836499179594
-6.667473540559687,-6.900377348488444,-6.445682726377154,-6.897550777473144,-6.741453972887588,-6.587748236479501
-7.0850416996830825,-7.167678939521139,-6.161750222743569,-6.786089118550431,-7.5032174029676035,-6.4504687372610885
-7.110346061017385,-7.110346061017385,-6.7914833264220045,-7.213161248268813,-6.567045096937505,-6.93334544988721
-6.571930072151073,-6.571930072151073,-6.584611296473492,-6.53350508438569,-7.211069728580128,-7.733470118108077
-6.669662339567477,-6.8027603895737,-6.461856766082084,-6.461856766082084,-6.719586394154234,-6.715171939037603
-7.005132462845535,-7.005132462845535,-6.917246046629479,-7.434415229370157,-6.821232170479084,-6.821232170479084
-6.378979420008298,-6.354049938089025,-6.720571474821256,-6.808213835578763,-7.347242012297896,-7.5514212080824015
-7.036868879466367,-7.035777088253658,-6.013614658560465,-6.154237963614083,-6.841687995493276,-6.841687995493276
-6.71900072068073,-6.945163193359614,-6.42646099926377,-6.518400793603357,-7.1552344529674645,-6.9215393898724775
-6.4745332410616685,-6.647393037996414,-7.1628774027517,-6.7037522100837945,-6.74513449232823,-6.252377029470342
-6.943823909155687,-6.992851222911723,-6.561395465046048,-6.561395465046048,-6.431941587734791,-6.371661141012307
-6.409290780139114,-6.875689436251201,-6.815175867356129,-6.925674134383612,-6.740759326767289,-7.128871222267145
-6.762576061635805,-6.762576061635805,-6.901035145032566,-6.906504032471618,-7.008089646139763,-7.008089646139763
-7.000739287936048,-7.656038423726588,-7.162364725229102,-7.310692005293937,-6.905800170737677,-7.269434692300986
-6.787988766633072,-6.787988766633072,-6.730768064018301,-6.730768064018301,-6.846254671245402,-6.846254671245402
-6.975496950477242,-6.896795895615284,-6.919548956201842,-6.926523257121519,-7.055753118260406,-6.5588579706653185
-6.8207850372263,-6.8207850372263,-6.55990733516489,-6.55990733516489,-6.8222348991231305,-6.718996272381341
-6.348920221434272,-6.348920221434272,-6.692736707394376,-7.092924308385712,-7.451613890798617,-7.451613890798617
-6.629377210708197,-6.629377210708197,-6.686824608070849,-6.6036451297547,-6.655215768675474,-6.643168655905404
-7.136710138753632,-7.153565633104777,-6.492529200322549,-6.621929322276914,-7.167435185780423,-7.266676275807754
-6.720154012002433,-6.817301233136561,-6.811187256593668,-6.970695430809089,-7.332964294104851,-7.882721157646924
-6.754859590427324,-6.754859590427324,-6.786470058049167,-6.786470058049167,-6.880339906061203,-6.993414447863814
-6.730231666732112,-7.126914439620539,-6.609395203238424,-6.609395203238424,-6.7362259034908005,-6.745383274258925
-6.968128619250017,-6.968128619250017,-7.052870744267348,-7.419770120311282,-6.691007335934048,-6.691007335934048
-6.40444148245101,-7.095318927072233,-6.6635670093296575,-7.362225354321628,-6.781863313954904,-6.781863313954904
-6.307906545440877,-6.379030636582674,-6.840675090420827,-6.840675090420827,-6.4329433123436335,-6.4329433123436335
-7.208070953385192,-7.208070953385192,-6.45865837784509,-6.493032208310127,-6.368622912524648,-6.3103501051871564
-7.09163143091911,-7.09163143091911,-7.161014634306967,-7.161014634306967,-7.21381682931721,-7.21381682931721
