Objective,Feasibility,Algorithm,Training Percentage,Data Size,Folds
-7.04232017244541,0.8,Sectioning,90,400,0
-6.556742043932355,0.96,NGS,90,400,0
-6.556742043932355,0.96,UNGS,90,400,0
-7.302720519800671,0.64,NV,90,400,0
-6.556742043932355,0.96,UG,90,400,0
-6.69955888825015,0.99,Sectioning,10,500,0
-6.742725310704071,1.0,NGS,10,500,0
-6.652331260656662,1.0,UNGS,10,500,0
-7.043177242644606,0.87,NV,10,500,0
-6.838998133993958,0.98,UG,10,500,0
-6.8292184094278365,0.98,Sectioning,20,500,0
-6.804374174940196,0.99,NGS,20,500,0
-6.71653724691641,1.0,UNGS,20,500,0
-7.06415329920458,0.85,NV,20,500,0
-6.886699826687586,0.97,UG,20,500,0
-6.54255643807841,1.0,Sectioning,30,500,0
-6.797400710285862,1.0,NGS,30,500,0
-6.67505592045256,1.0,UNGS,30,500,0
-7.050869983239993,0.9,NV,30,500,0
-6.843435676522919,1.0,UG,30,500,0
-6.647958711348909,0.99,Sectioning,40,500,0
-6.828814016268543,1.0,NGS,40,500,0
-6.718432957423703,1.0,UNGS,40,500,0
-7.102836180975469,0.87,NV,40,500,0
-6.876134611320183,1.0,UG,40,500,0
-6.731236991114408,0.99,Sectioning,50,500,0
-6.769671856981439,0.99,NGS,50,500,0
-6.63334848601418,1.0,UNGS,50,500,0
-7.0906936635410895,0.88,NV,50,500,0
-6.85873225562128,0.97,UG,50,500,0
-6.866579653205023,0.97,Sectioning,60,500,0
-6.737702820241586,1.0,NGS,60,500,0
-6.592796717817193,1.0,UNGS,60,500,0
-7.106624565652577,0.86,NV,60,500,0
-6.813905352232744,0.99,UG,60,500,0
-6.394028093349382,0.99,Sectioning,70,500,0
-6.792902404790599,0.98,NGS,70,500,0
-6.553055847575743,0.98,UNGS,70,500,0
-7.09746556104135,0.94,NV,70,500,0
-6.8510942302677,0.98,UG,70,500,0
-6.5655417073358535,1.0,Sectioning,80,500,0
-6.693083331252032,0.98,NGS,80,500,0
-6.272781555085403,1.0,UNGS,80,500,0
-7.164644154640488,0.8,NV,80,500,0
-6.693083331252032,0.98,UG,80,500,0
-6.931868755976812,0.89,Sectioning,90,500,0
-6.426497654056306,0.95,NGS,90,500,0
-6.415334718937337,0.95,UNGS,90,500,0
-7.118859380458751,0.82,NV,90,500,0
-6.836802004561926,0.94,UG,90,500,0
-6.628180104666257,1.0,Sectioning,10,600,0
-6.78124167801103,1.0,NGS,10,600,0
-6.70987740280683,1.0,UNGS,10,600,0
-7.038061098573753,0.86,NV,10,600,0
-6.880966120810018,0.97,UG,10,600,0
-6.705582741977533,1.0,Sectioning,20,600,0
-6.813910893706229,0.99,NGS,20,600,0
-6.736785615388403,1.0,UNGS,20,600,0
-7.067750929317793,0.86,NV,20,600,0
-6.878511263978847,0.99,UG,20,600,0
-6.788296954363615,1.0,Sectioning,30,600,0
-6.793538106962096,0.99,NGS,30,600,0
-6.744069139517758,0.99,UNGS,30,600,0
-7.032374224896771,0.95,NV,30,600,0
-6.858466959958091,0.99,UG,30,600,0
-6.561645366472647,1.0,Sectioning,40,600,0
-6.824673692019649,0.99,NGS,40,600,0
-6.752214545799192,0.99,UNGS,40,600,0
-7.093629816956592,0.88,NV,40,600,0
-6.872938122276529,0.99,UG,40,600,0
-6.664780749361744,1.0,Sectioning,50,600,0
-6.817135618034821,0.99,NGS,50,600,0
-6.697639850417179,1.0,UNGS,50,600,0
-7.110917959681095,0.87,NV,50,600,0
-6.843228283740285,0.99,UG,50,600,0
-6.795809387092598,1.0,Sectioning,60,600,0
-6.844998785226616,0.99,NGS,60,600,0
-6.715398081023536,0.99,UNGS,60,600,0
-7.130559109857128,0.83,NV,60,600,0
-6.924404367716311,0.97,UG,60,600,0
-6.25584326471233,1.0,Sectioning,70,600,0
-6.69835808017884,1.0,NGS,70,600,0
-6.500245184368139,1.0,UNGS,70,600,0
-7.070159071177505,0.92,NV,70,600,0
-6.787545558293474,1.0,UG,70,600,0
-6.4358505301901365,1.0,Sectioning,80,600,0
-6.653658135258225,0.98,NGS,80,600,0
-6.414134992240994,0.99,UNGS,80,600,0
-7.12938234797441,0.89,NV,80,600,0
-6.768659047455981,0.97,UG,80,600,0
-6.80842285308215,0.96,Sectioning,90,600,0
-6.744425157901474,0.96,NGS,90,600,0
-6.374603503034626,0.97,UNGS,90,600,0
-7.137977517826507,0.87,NV,90,600,0
-6.744425157901474,0.96,UG,90,600,0
-6.817961813127745,0.99,Sectioning,10,700,0
-6.852064636359546,1.0,NGS,10,700,0
-6.790457409271195,1.0,UNGS,10,700,0
-7.075642443714084,0.81,NV,10,700,0
-6.9420622127322,0.95,UG,10,700,0
-6.643769173999053,1.0,Sectioning,20,700,0
-6.81903132155559,1.0,NGS,20,700,0
-6.771640450319986,1.0,UNGS,20,700,0
-7.037104637201966,0.91,NV,20,700,0
-6.907733748236302,0.98,UG,20,700,0
-6.744952633243403,0.99,Sectioning,30,700,0
-6.842483872345111,0.98,NGS,30,700,0
-6.786512697345565,0.98,UNGS,30,700,0
-7.081406491327285,0.9,NV,30,700,0
-6.893903638115128,0.98,UG,30,700,0
-6.840249285431981,0.99,Sectioning,40,700,0
-6.813271535319776,1.0,NGS,40,700,0
-6.787045856855911,1.0,UNGS,40,700,0
-7.127704292932526,0.9,NV,40,700,0
-6.90175929685122,0.98,UG,40,700,0
-6.595735684955954,1.0,Sectioning,50,700,0
-6.842771162467221,1.0,NGS,50,700,0
-6.794567525751669,1.0,UNGS,50,700,0
-7.088958680098981,0.97,NV,50,700,0
-6.905822335693223,0.99,UG,50,700,0
-6.72219508804482,1.0,Sectioning,60,700,0
-6.819766890571483,0.99,NGS,60,700,0
-6.729413783006813,0.99,UNGS,60,700,0
-7.145859498020017,0.93,NV,60,700,0
-6.931830573760797,0.97,UG,60,700,0
-6.87841649781203,0.97,Sectioning,70,700,0
-6.766178727079941,0.98,NGS,70,700,0
-6.61955128006459,1.0,UNGS,70,700,0
-7.092048053383999,0.93,NV,70,700,0
-6.899161069122005,0.96,UG,70,700,0
-6.431665516067953,1.0,Sectioning,80,700,0
-6.754190778032823,0.99,NGS,80,700,0
-6.499452281122191,1.0,UNGS,80,700,0
-7.130760189195678,0.94,NV,80,700,0
-6.847271732864383,0.98,UG,80,700,0
-6.652795102962402,1.0,Sectioning,90,700,0
-6.638535108803328,0.98,NGS,90,700,0
-6.260067689516596,0.98,UNGS,90,700,0
-7.034235027306952,0.95,NV,90,700,0
-6.638535108803328,0.98,UG,90,700,0
-6.711420745053798,0.99,Sectioning,10,800,0
-6.814020190557884,0.99,NGS,10,800,0
-6.805789901045704,0.99,UNGS,10,800,0
-7.073161566594576,0.8,NV,10,800,0
-6.896995220408214,0.96,UG,10,800,0
-6.804553133029879,1.0,Sectioning,20,800,0
-6.8411226945360895,1.0,NGS,20,800,0
-6.789555558460349,1.0,UNGS,20,800,0
-7.074035775805839,0.87,NV,20,800,0
-6.899451844729771,0.98,UG,20,800,0
-6.7008082787484,1.0,Sectioning,30,800,0
-6.876967674905888,1.0,NGS,30,800,0
-6.836795808991159,1.0,UNGS,30,800,0
-7.095689802355871,0.9,NV,30,800,0
-6.941025498817688,0.98,UG,30,800,0
-6.765135741182948,1.0,Sectioning,40,800,0
-6.873272014807588,0.99,NGS,40,800,0
-6.803853890623918,0.99,UNGS,40,800,0
-7.094139872793679,0.88,NV,40,800,0
-6.938050259205376,0.98,UG,40,800,0
-6.8565798411959324,0.98,Sectioning,50,800,0
-6.847590679891979,1.0,NGS,50,800,0
-6.781824281030062,1.0,UNGS,50,800,0
-7.127197760256471,0.93,NV,50,800,0
-6.944613502262217,0.99,UG,50,800,0
-6.689617160148901,1.0,Sectioning,60,800,0
-6.823833994248589,0.99,NGS,60,800,0
-6.776774805960796,1.0,UNGS,60,800,0
-7.102529009197577,0.96,NV,60,800,0
-6.892042274147059,0.98,UG,60,800,0
-6.820649129813765,0.99,Sectioning,70,800,0
-6.828210424276748,1.0,NGS,70,800,0
-6.709905157309215,1.0,UNGS,70,800,0
-7.12598566458449,0.97,NV,70,800,0
-6.935777832463864,1.0,UG,70,800,0
-6.322255127994789,1.0,Sectioning,80,800,0
-6.792751630731092,1.0,NGS,80,800,0
-6.610687465091404,1.0,UNGS,80,800,0
-7.122889975228662,0.94,NV,80,800,0
